[Parameters]
Operating Mode, Non-Feedback
0.077,0.045,0.283,-5.337
0.091,0.046,0.283,-5.337
0.110,0.046,0.278,-5.337
0.123,0.046,0.278,-5.337
0.119,0.047,0.277,-5.337
0.144,0.046,0.280,-5.337
0.177,0.045,0.285,-5.337
0.140,0.043,0.285,-5.337
0.167,0.042,0.283,-5.337
0.212,0.042,0.281,-5.337
0.220,0.043,0.281,-5.337
0.146,0.048,0.282,-5.337
0.091,0.045,0.282,-5.337
0.155,0.044,0.282,-5.337
0.193,0.042,0.281,-5.337
0.176,0.042,0.283,-5.337
0.207,0.042,0.285,-5.337
0.190,0.046,0.283,-5.337
0.193,0.045,0.282,-5.337
0.199,0.044,0.283,-5.337
0.192,0.043,0.284,-5.337
0.175,0.049,0.280,-5.337
0.121,0.049,0.280,-5.337
0.146,0.045,0.283,-5.337
0.209,0.044,0.284,-5.337
0.247,0.044,0.282,-5.337
0.207,0.049,0.282,-5.337
0.135,0.045,0.278,-5.337
0.065,0.046,0.275,-5.337
0.057,0.046,0.274,-5.337
0.123,0.047,0.279,-5.337
0.139,0.043,0.280,-5.337
0.133,0.041,0.277,-5.337
0.098,0.044,0.278,-5.337
0.160,0.048,0.281,-5.337
0.184,0.046,0.283,-5.337
0.127,0.047,0.284,-5.337
0.139,0.045,0.286,-5.337
0.140,0.045,0.282,-5.337
0.141,0.044,0.278,-5.337
0.113,0.045,0.277,-5.337
0.127,0.044,0.278,-5.337
0.050,0.042,0.276,-5.337
0.095,0.043,0.277,-5.337
0.142,0.044,0.280,-5.337
0.177,0.043,0.285,-5.337
0.215,0.043,0.285,-5.337
0.228,0.043,0.284,-5.337
0.171,0.046,0.281,-5.337
0.139,0.045,0.280,-5.337
0.085,0.042,0.282,-5.337
0.055,0.042,0.284,-5.337
0.028,0.041,0.281,-5.337
0.080,0.039,0.280,-5.337
0.118,0.044,0.282,-5.337
0.072,0.045,0.282,-5.337
0.092,0.043,0.283,-5.337
0.165,0.038,0.282,-5.337
0.191,0.037,0.279,-5.337
0.152,0.035,0.276,-5.337
0.152,0.037,0.278,-5.337
0.119,0.041,0.280,-5.337
0.059,0.045,0.279,-5.337
0.020,0.047,0.277,-5.337
0.022,0.046,0.278,-5.337
0.032,0.044,0.276,-5.337
-0.008,0.043,0.273,-5.337
0.019,0.042,0.273,-5.337
0.032,0.043,0.276,-5.337
0.064,0.037,0.280,-5.337
0.140,0.033,0.282,-5.337
0.125,0.038,0.278,-5.337
0.174,0.035,0.276,-5.337
0.129,0.032,0.277,-5.337
0.125,0.033,0.277,-5.337
0.155,0.031,0.276,-5.337
0.130,0.032,0.277,-5.337
0.177,0.032,0.279,-5.337
0.204,0.034,0.279,-5.337
0.136,0.035,0.281,-5.337
0.063,0.040,0.280,-5.337
-0.019,0.045,0.279,-5.337
0.030,0.038,0.279,-5.337
0.138,0.036,0.277,-5.337
0.109,0.041,0.279,-5.337
0.034,0.042,0.280,-5.337
0.060,0.036,0.280,-5.337
0.114,0.037,0.277,-5.337
0.048,0.037,0.275,-5.337
-0.009,0.039,0.279,-5.337
-0.018,0.036,0.278,-5.337
-0.011,0.036,0.274,-5.337
